"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R11,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"100k";;;
2;"C5,C4";"C_Disc_D6.0mm_W2.5mm_P5.00mm";2;"100pF";;;
3;"R8,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"100";;;
4;"C3";"CP_Radial_D10.0mm_P2.50mm";1;"100uF";;;
5;"M1";"arduino-nano";1;"arduino-nano";;;
6;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"47k";;;
7;"R6,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"2.2k";;;
8;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"10k";;;
9;"Q1";"TO-92";1;"2N2222";;;
10;"D1";"D_DO-41_SOD81_P3.81mm_Vertical_KathodeUp";1;"1N4148";;;
11;"C2";"CP_Radial_D10.0mm_P2.50mm";1;".1uF";;;
12;"C1";"CP_Radial_D10.0mm_P2.50mm";1;".33uF";;;
13;"R7";"R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal";1;"10";;;
14;"SIG+1,SIG-1,PWR+1,PWR-1,OUT-1,OUT+1";"SpadeTerminal635";6;"spade-terminal";;;
15;"U1";"TO-220-3_Vertical";1;"LM7805_TO220";;;
16;"Q2";"TO-220-3_Vertical";1;"TIP31C";;;
17;"IR1";"PinHeader_1x03_P2.54mm_Vertical";1;"VS1838b";;;
18;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
